iteration,step,train_step_rate,train_episode_return,train_num_episodes,eval_episode_return,eval_num_episodes
1,100000,2951.7100511224103,-297.7137377618948,951,-304.2570896738188,167
2,200000,3130.5571403180147,-245.0475921381464,932,-237.66708128144643,165
3,300000,3128.6639449536624,-211.16706497092684,815,-201.50078404248939,144
4,400000,3099.62979388654,-162.08509285478223,658,-148.4622978509454,93
5,500000,3216.689264899018,-76.22926885011654,523,-11.60793196336272,56
6,600000,3123.2736394993694,103.99155380461433,224,238.85271494872967,34
7,700000,2954.9354815651177,465.6640534591666,119,499.3822377170808,21
8,800000,3078.9060131250144,615.2533754894322,108,601.671005546104,22
9,900000,2973.3025502523196,644.6891240791579,109,564.8852344293326,24
10,1000000,2866.765970785632,644.900087374534,113,677.272105928249,22
11,1100000,3039.087868704555,733.9629603013601,105,668.9158606509554,22
12,1200000,2817.449037816215,720.1799079023376,106,762.7812091986746,20
13,1300000,2840.5294517360326,752.0594409602681,109,744.8862719127699,20
14,1400000,2942.353267626465,774.2554982263707,105,785.4120215164721,20
15,1500000,2918.155941544899,822.5231208381598,100,777.0111250889275,20
16,1600000,2849.376175122529,817.2148190161672,101,806.5137886719838,20
17,1700000,3019.59178917578,811.5429619265808,102,801.1117828739182,20
18,1800000,3043.4477790140263,799.850399594227,101,821.3327159427802,20
19,1900000,2854.180724320046,877.903761507599,102,839.033759898648,20
20,2000000,3006.9380360159194,824.4935232727976,103,815.8422141015269,20
21,2100000,3050.8327217742954,824.1019918230776,104,817.7030766469769,20
22,2200000,2980.4741692289335,835.1751843720615,104,853.0074387723431,20
23,2300000,3033.2474777144125,891.591307795549,100,899.2108312897972,20
24,2400000,3085.7098159014927,911.0242964608066,105,870.6930506532824,20
25,2500000,3071.769210504178,909.3623944813572,102,847.0423737204061,20
26,2600000,2899.4860787654297,893.6111084443758,103,815.9845480282833,20
27,2700000,3122.6728294578156,879.3436738366617,103,850.4673292210368,22
28,2800000,3010.488719018502,934.0776725144246,103,856.4480226367363,20
29,2900000,2949.140301870576,947.5562962689987,105,929.3888425490184,20
30,3000000,3076.113216481057,939.3878897194538,107,907.2059472849536,20
31,3100000,3071.922762877014,955.9103578517817,109,964.6085951834684,21
32,3200000,2902.228230633747,952.7866019071232,108,864.4904163845193,21
33,3300000,3127.849052399327,946.8841118398568,110,823.0732183600488,24
34,3400000,3065.6354683249187,904.2233369088914,115,834.4975977704714,22
35,3500000,2943.1478208547246,867.9198571649886,118,1015.984977666204,20
36,3600000,3113.1071264277784,873.2943616383802,115,943.5502335123714,21
37,3700000,3150.8879508460195,938.6248064540031,114,877.4796938659642,23
38,3800000,3151.916037399932,953.8063870885338,121,951.0053517487311,23
39,3900000,3071.7816897061616,823.3345814575559,140,863.4946165307998,24
40,4000000,2964.1816107618183,848.663903283771,138,773.7961662143824,26
