iteration,step,train_step_rate,train_episode_return,train_num_episodes,eval_episode_return,eval_num_episodes
1,100000,2220.006401105789,80.53302095711948,4153,90.52318882184652,745
2,200000,1845.8339668300162,108.14984401675765,3142,126.50742405684467,542
3,300000,2040.1115886985444,150.81208399957364,2296,165.29866954187753,424
4,400000,1711.0870792664723,189.8551657741027,1889,199.62452998808783,361
5,500000,1881.937702814452,221.73452501303888,1664,210.73145800262017,354
6,600000,1941.6066158401336,234.35879219799818,1611,236.12788826775994,321
7,700000,1588.858796978364,246.03717348012677,1554,241.54878027803505,320
8,800000,1810.5292090728817,251.93333516814346,1551,251.58638434797277,311
9,900000,1661.2607917754265,256.7706541178932,1536,258.3083299761006,304
10,1000000,1823.64138067058,261.3348910511356,1525,266.21699061781663,298
11,1100000,1894.7692014699737,265.45156224753816,1511,264.6963492945089,302
12,1200000,1915.8126309316276,268.1011002758196,1518,265.02160755299957,307
13,1300000,2251.8242971947843,265.275256849549,1556,261.9040621451339,314
14,1400000,2443.469950261491,266.6030846058958,1557,264.68568049288604,313
15,1500000,2390.62123825956,267.81679524663264,1564,269.86400299495006,309
16,1600000,2375.212002583976,268.6720473755767,1566,269.24937165457396,314
17,1700000,2498.74345217588,272.734426659835,1562,276.28609751303236,304
18,1800000,2544.5234491535366,275.06336946613095,1544,273.0447241140571,307
19,1900000,2509.3953669405723,279.11034536248036,1523,278.62353930504656,306
20,2000000,2620.922933860002,278.93961471732746,1529,279.78134115796314,305
21,2100000,2459.1266148461677,278.38520514076805,1543,286.22377355178577,299
22,2200000,2499.955595682867,283.84116554390494,1523,285.937967914915,302
23,2300000,2452.6873277876457,285.2534346128846,1525,281.28173860304975,307
24,2400000,2522.297123591076,285.4901924807072,1524,288.07454653585137,299
25,2500000,2618.4612044338837,291.9664488667144,1481,287.030232510501,300
26,2600000,2583.4228098813574,292.24185841916517,1474,295.65924130810583,288
27,2700000,2461.552230505256,289.27856698739896,1477,287.00623002322374,295
28,2800000,2645.750246709665,291.94445055596935,1452,294.4517777859642,287
29,2900000,2563.21046668229,297.7692990274572,1430,290.64630206307964,294
30,3000000,2517.182928233086,301.37888076850334,1416,299.4270301610452,285
31,3100000,2588.8321369223518,301.44149548362617,1414,304.49733989931804,278
32,3200000,2485.3272576484737,303.8860593326677,1403,301.7098599454635,278
33,3300000,2558.1955604813816,302.514901850428,1404,308.54901384806385,273
34,3400000,2561.7408409776654,306.04870744702947,1389,301.71323536674066,281
35,3500000,2537.904438729127,305.43913700944535,1391,307.74987836440414,275
36,3600000,2473.081867226284,305.59782350366163,1375,311.5252751920907,270
37,3700000,2453.003590212338,306.66320547528346,1373,305.19492418222933,274
38,3800000,2510.279299977598,306.90891480411454,1377,308.94765528333943,271
39,3900000,2663.0059224694337,310.08044616224095,1349,304.8536900404869,276
40,4000000,2516.577565571154,309.95298714424615,1357,297.85930820561566,282
41,4100000,2636.3888619146373,313.2255594649457,1346,313.7517006468137,270
42,4200000,2485.895180408671,307.8739227015786,1374,311.91299266297926,274
43,4300000,2606.8919207039226,308.9142949272813,1387,307.5554240660357,277
44,4400000,2610.3959535690583,314.14683125436835,1357,307.8587459021686,276
45,4500000,2667.406709288166,312.4680204678038,1362,317.0573938922617,266
46,4600000,2558.199595809002,316.8920372119356,1335,314.5317685410102,267
47,4700000,2687.209665694576,317.2885162863301,1326,314.282494481509,267
48,4800000,2673.3550176374006,320.44642047326454,1314,320.07165353393714,262
49,4900000,2617.8966102913387,328.9085346816753,1285,321.19980307468427,265
50,5000000,2680.8045576816817,327.098042807392,1301,324.9440061552812,263
51,5100000,2652.8115404620426,333.3326278685985,1276,327.66260612985843,259
