iteration,step,train_step_rate,train_episode_return,train_num_episodes,eval_episode_return,eval_num_episodes
1,100000,2625.0146251286246,-165.31667458771486,737,-28.588773038257035,113
2,200000,2190.2247547950737,268.3926486594698,160,424.95823846897804,26
3,300000,2183.695904817352,609.2641829127627,106,687.3520547578091,21
4,400000,2052.1162239453224,655.017910429232,107,623.2455722255523,23
5,500000,2295.888294987315,647.6862695231664,108,513.02139994955,21
6,600000,2081.4780480274007,642.2796298379283,107,623.5406692208634,23
7,700000,1998.4662325150043,650.5848296706462,110,669.9606094518024,22
8,800000,2268.811354828524,576.6896106716191,124,691.9208646653188,22
9,900000,2183.1422175611797,764.1496516467819,107,677.1972762178634,25
10,1000000,2116.637895042637,663.2784804756822,120,786.4908430114043,22
11,1100000,2081.8635567767833,808.2377111648359,116,857.5678456801281,21
12,1200000,2217.3288510873476,768.0223153824629,121,759.2171886806487,26
13,1300000,2200.2886461012035,793.661683205986,125,745.7536009402011,28
14,1400000,2417.8748635866664,821.778353772857,132,849.1187459100366,29
15,1500000,2218.452850342718,1006.5130742192846,142,1172.1763686572,28
16,1600000,2299.397442079391,1124.3142041738554,141,945.5550389028909,31
17,1700000,2181.3719102536525,1146.6980148084015,142,912.8923129234556,33
18,1800000,2220.7636495557203,1331.2279811366898,129,1250.8670762112718,30
19,1900000,2140.729613852324,1353.9871316246945,135,1589.8526272092117,25
20,2000000,2230.574019535464,1266.0331010236785,142,1630.6144422254326,24
21,2100000,2366.0134010677757,1486.3820665634644,121,1379.549889494705,26
22,2200000,2208.472981130168,1357.0128606287112,128,1857.30494139986,23
23,2300000,2070.8232277350526,1314.3230033352713,136,1507.2495343669339,23
24,2400000,2100.7197709669417,1617.3799729351663,119,1673.8478463759407,26
25,2500000,2268.8771470200923,1865.7099710374414,116,1833.1372442793502,25
26,2600000,2235.892497582716,1731.4163420531313,124,1838.8589621348906,25
27,2700000,2382.3579992111004,1715.207787627528,124,1670.3723209397479,26
28,2800000,2204.0496570052073,1709.724532219496,123,1943.3871281353497,23
29,2900000,2200.422760863556,1801.202070426243,115,1761.0171572572424,25
30,3000000,2160.2036736774276,1673.1220588495794,123,1565.139932372983,25
31,3100000,2258.983048417239,1350.753851961979,131,1371.5231196829538,27
32,3200000,1993.3516017040827,1413.7947812730372,131,1189.136262507651,31
33,3300000,2224.7506065053367,1343.4602730466938,133,1351.4638527599295,28
34,3400000,2378.388891972166,1331.6002474802888,134,1560.4992265900582,22
35,3500000,2307.017340601637,1404.5327685136085,130,1395.9059228750832,28
36,3600000,2323.5572991554995,1590.2593892063614,121,1076.2302473106192,33
37,3700000,2221.1141761178596,1518.4421830290412,133,1711.36957089654,25
38,3800000,2349.327732680334,1584.2164812105264,130,1481.0872435467443,28
39,3900000,2340.2180256267784,1668.256475556761,126,1646.6618746828112,27
40,4000000,2141.920934406039,1726.6504076615006,129,1641.8953964416985,29
