iteration,step,train_step_rate,train_episode_return,train_num_episodes,eval_episode_return,eval_num_episodes
1,20000,1907.4656187836129,21.54193548387097,930,27.7625,720
2,40000,3015.19358140899,33.39398998330551,599,164.5702479338843,121
3,60000,2952.723844157103,50.311557788944725,398,107.46774193548387,186
4,80000,3551.6361698816995,69.21379310344828,290,193.55339805825244,103
5,100000,5577.428676523504,75.64419475655431,267,149.75187969924812,133
6,120000,5515.25605587594,72.16187050359713,278,136.3972602739726,146
7,140000,5650.254112847908,123.91358024691358,162,289.2173913043478,69
8,160000,5601.940277971626,120.72289156626506,166,261.67105263157896,76
9,180000,5603.374618928482,199.73529411764707,102,464.4186046511628,43
10,200000,5647.267206805544,398.37254901960785,51,500.0,40
11,220000,5740.3172781278545,497.4390243902439,41,500.0,40
12,240000,5707.703528606388,500.0,40,500.0,40
13,260000,5718.645635861256,500.0,40,500.0,40
14,280000,5667.690950100226,500.0,40,500.0,40
15,300000,5720.465521745516,500.0,40,500.0,40
16,320000,5398.643413389301,500.0,40,500.0,40
17,340000,5373.131041877671,474.3255813953488,43,500.0,40
18,360000,5317.619733837272,493.780487804878,41,500.0,40
19,380000,5198.34253018594,478.2142857142857,42,500.0,40
20,400000,5434.429122673213,491.6829268292683,41,500.0,40
21,420000,5373.705354007957,500.0,40,500.0,40
22,440000,5211.31952799213,500.0,40,500.0,40
23,460000,4600.040247684619,500.0,40,500.0,40
24,480000,2014.2239589331734,500.0,40,500.0,40
25,500000,2200.744764775417,500.0,40,500.0,40
26,520000,2380.5957722400844,500.0,40,500.0,40
27,540000,2493.252012182587,500.0,40,500.0,40
28,560000,2006.9727678873555,500.0,40,500.0,40
29,580000,1783.02814296288,456.02272727272725,44,500.0,40
30,600000,2440.7619820931377,500.0,40,500.0,40
31,620000,2077.694323984593,500.0,40,500.0,40
32,640000,4351.129762629698,500.0,40,500.0,40
33,660000,2352.438855220495,500.0,40,500.0,40
34,680000,2774.8873525946547,500.0,40,500.0,40
35,700000,4320.060436816223,500.0,40,500.0,40
36,720000,3244.272607977657,500.0,40,500.0,40
37,740000,2303.972327972831,500.0,40,500.0,40
38,760000,2191.945828236924,500.0,40,500.0,40
39,780000,1772.715325423738,500.0,40,500.0,40
40,800000,3011.6623902010924,500.0,40,500.0,40
41,820000,2622.7304387706304,500.0,40,500.0,40
42,840000,1595.10599112147,500.0,40,500.0,40
43,860000,2281.5542751331095,500.0,40,500.0,40
44,880000,2267.063477316128,500.0,40,500.0,40
45,900000,1538.4865656141199,500.0,40,500.0,40
46,920000,3113.9441345125097,500.0,40,500.0,40
47,940000,4352.844847041188,500.0,40,500.0,40
48,960000,2145.460518131611,500.0,40,500.0,40
49,980000,2514.100707792164,500.0,40,500.0,40
50,1000000,1791.2165256058524,500.0,40,500.0,40
