iteration,step,train_step_rate,train_episode_return,train_num_episodes,eval_episode_return,eval_num_episodes
1,100000,1717.0182235257466,-91.3022718547239,567.25,177.5262865868142,46
2,200000,1708.41554164173,495.7451902631761,130.125,629.1154533877833,25
3,300000,1731.256586610612,862.7724005205343,124.625,808.6377780063016,32
4,400000,1751.5077142309858,1123.227705314651,136.0,1196.6424211160704,32
5,500000,1681.92124698142,1726.6925709039788,130.625,1807.6377554973487,29
6,600000,1791.2062436422166,2267.009371141051,119.0,1605.2895039547207,28
7,700000,1811.7749592704342,2483.608146373853,119.0,2248.9879834225894,28
8,800000,1760.2476308015443,2530.257915695558,118.5,2428.0106909708434,26
9,900000,1761.5285049922857,2672.5128888991094,113.375,2415.131385772921,26
10,1000000,1752.7957279288157,2686.1800051043465,114.375,2394.607961877935,27
11,1100000,1816.089176282369,2662.727701675045,115.0,1986.1567439680387,30
12,1200000,1821.7933422904755,2619.1217934354063,115.0,2296.92178804212,29
13,1300000,1796.812318673933,2679.668873656055,112.875,2872.989634040017,23
14,1400000,1798.9192987012352,2702.014745121411,112.25,2980.2132744073733,22
15,1500000,1827.589533647379,2679.500415584498,111.25,2757.7606071573314,23
16,1600000,1827.6648482410315,2810.687664212224,107.875,2923.779695063647,23
17,1700000,1829.1648669927454,2889.28465289762,107.75,2901.192928813312,23
18,1800000,1777.8589445961818,2897.7006511592353,107.625,2966.379650153236,23
19,1900000,1778.1785940580698,2794.0723843815867,109.75,2725.286069244525,22
20,2000000,1864.893105954634,2831.7435074204914,108.25,2722.5606361340015,24
21,2100000,1783.693198772012,2728.6446639111273,111.5,3124.3520646269276,22
22,2200000,1698.5510297804587,2910.031808492737,109.75,3095.717877760024,21
23,2300000,1785.1345271926587,2867.796747717678,110.125,2978.722320513426,23
24,2400000,1770.05125997462,2777.720231002061,112.625,2667.8510931943465,24
25,2500000,1824.001678815689,2917.670279323402,109.625,2849.7381939647785,24
26,2600000,1777.1869689539644,2969.6314752169787,108.5,2851.708516790642,24
27,2700000,1765.4685677694956,2872.5493771380825,111.125,2613.3871872032446,24
28,2800000,1780.8789518460826,2968.9824737768367,108.0,2825.831080568552,24
29,2900000,1769.5305552914638,2901.0854726577854,109.125,2628.13703837986,25
30,3000000,1767.65530040487,2820.864646856635,111.0,2743.9730236619857,23
31,3100000,1768.9600370777662,2823.6730600735427,110.875,2789.2913147785316,24
32,3200000,1779.1908137308378,2799.9528624090617,111.0,2563.1324595329356,26
33,3300000,1734.4291640117085,2739.7317451668014,112.5,3027.7526153410604,21
34,3400000,1803.579053516235,2743.1666748906855,111.25,2505.773090814317,25
35,3500000,1792.7007864853601,2689.4699739306743,110.75,2483.153737768886,24
36,3600000,1791.156345394173,2687.2571808673983,110.125,2583.824590878311,23
37,3700000,1784.6923656125107,2648.718136453686,110.25,2431.785296933971,25
38,3800000,1774.7436774678383,2673.8053800467696,110.75,2623.6796021730875,24
39,3900000,1803.300693521546,2691.968185154504,112.25,2516.1018697103746,23
40,4000000,1757.147391237157,2654.3228226644424,116.375,2906.642157947888,22
