iteration,step,train_step_rate,train_episode_return,train_num_episodes,eval_episode_return,eval_num_episodes
1,100000,966.4476035253583,179.869913265562,1865.9375,219.5367720075212,319
2,200000,974.1090132938002,272.4332576761607,1280.0625,217.6361029508397,314
3,300000,974.7107653039072,387.2182504994982,982.5625,200.64468178850976,330
4,400000,974.9339716833986,567.5347131108686,679.6875,160.0994030226319,347
5,500000,979.0406961764875,983.4205804364416,414.5,160.88830110508965,336
6,600000,976.7217761319907,1755.0685379145293,255.625,150.6244031061531,347
7,700000,971.7873672698561,2680.8458679524147,174.375,180.99236514952565,335
8,800000,981.9562059073049,3021.3963135652493,150.1875,206.59547089976928,317
9,900000,977.0057469201795,3027.6225833498065,146.8125,218.02310750550708,316
10,1000000,978.7806019590307,2811.124197543833,153.75,232.68822908996285,304
11,1100000,992.4782831494674,2855.167738646209,147.125,236.44014462847312,300
12,1200000,979.642015201922,2774.1760240199847,154.9375,234.34452494436113,305
13,1300000,991.3355505404098,2696.789300738054,163.375,229.21940143150536,304
14,1400000,1006.7754196113084,2795.194093870274,164.5625,223.35489182281705,309
15,1500000,998.5129594004809,2770.2486348932457,177.4375,219.50812009703708,307
16,1600000,1002.34796349202,2767.8607259102746,191.75,211.30290301267894,315
17,1700000,1008.1614214059528,2992.4695978911586,190.125,202.90112264988224,314
18,1800000,1009.129697281314,3195.5045972826847,186.8125,195.6042495629326,315
19,1900000,1001.9999225453737,3297.6787857175186,183.625,196.9708015607776,314
20,2000000,1018.8684781356918,3417.6361617613693,177.6875,198.650260813327,313
21,2100000,1006.3916933388173,3418.1815465094896,178.8125,188.75432495634735,316
22,2200000,1010.3690639873793,3544.0274023327124,165.0625,176.5443846632231,330
23,2300000,1010.4294982108352,3509.67409969417,165.25,168.336039424162,340
24,2400000,1013.9182969440901,3523.5864754732656,172.0,167.59469966104874,333
25,2500000,1005.5794881179766,3631.734799508508,169.875,161.38433494358648,329
26,2600000,1012.114631898814,3606.4947136838905,170.25,154.09956291395906,330
27,2700000,1005.3464299818015,3581.91179173283,170.5625,142.13432181695114,339
28,2800000,1011.8888876497687,3654.007106384961,168.0,143.02263517997054,338
29,2900000,1000.2478077043033,3830.4611507057407,166.8125,129.00521229585206,355
30,3000000,1007.1692052749322,3765.212143369531,169.4375,128.3752119559821,350
31,3100000,1000.8512489772064,3584.379235573957,174.0625,130.6416956198654,351
32,3200000,1002.0515561006312,3738.4942419821764,175.5625,132.03149767832005,344
33,3300000,996.4242418406291,3624.9415306584056,177.0625,137.9207267773968,331
34,3400000,1001.1932180890522,3374.5963459914547,186.6875,142.53713479408785,334
35,3500000,992.4091260400512,3577.713328683168,181.75,138.5346315579518,332
36,3600000,985.5716799759689,3555.7010231951117,179.9375,134.08509499693056,331
37,3700000,988.0919264447365,3551.0581566780847,183.5625,117.36228368118515,343
38,3800000,1007.4317542194528,3520.380326580979,185.0,116.5068910693118,344
39,3900000,1002.4158600694509,3433.584987162297,186.875,126.88909586274309,331
40,4000000,1010.5998014040176,3306.250369355224,195.25,127.29630899185962,327
41,4100000,996.4085955142532,3437.7775557985906,187.875,135.50103326947382,316
42,4200000,999.7250954953911,3404.165070500405,179.6875,140.8387718944335,300
43,4300000,999.5871835203434,3354.9836283014347,185.25,181.18293524551422,264
44,4400000,1001.9683654978323,3232.962175833596,186.0,224.45638550772534,235
45,4500000,1005.0750288635861,3402.6821090456324,175.6875,242.6869419343168,226
46,4600000,1006.3303124308007,3251.240140876741,183.375,193.77218623547924,262
47,4700000,1004.6588901466164,3351.5506315404855,175.9375,186.51364102058818,263
48,4800000,999.8486039145198,3189.378278183911,188.9375,219.7234848823169,236
49,4900000,1002.0597356034748,3313.5199645544153,175.6875,226.27755925596946,235
50,5000000,1005.4882457615221,3101.7062830141886,192.5,172.5044478897663,273
51,5100000,999.1168458259887,3244.866906561141,180.75,268.31762904189134,210
52,5200000,1004.6800085259789,3228.012006035194,179.5,243.18239084170293,222
53,5300000,1002.4459088311684,3045.4984886619222,189.25,276.8008136134799,203
