datetime,black,white,game,game_result,game_length
2023-05-31 19:58:18,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,0,W+2.5,70
2023-05-31 19:58:39,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,1,W+2.5,111
2023-05-31 19:58:28,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,2,B+13.5,94
2023-05-31 19:58:36,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,3,B+2.5,132
2023-05-31 19:59:01,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,4,W+2.5,162
2023-05-31 19:58:26,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,5,W+0.5,74
2023-05-31 19:58:50,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,6,W+15.5,162
2023-05-31 19:58:50,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,7,W+3.5,162
2023-05-31 19:58:25,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,8,B+5.5,90
2023-05-31 19:58:20,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,9,W+1.5,70
2023-05-31 19:58:34,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,10,B+1.5,124
2023-05-31 19:59:00,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,11,B+8.5,162
2023-05-31 19:58:17,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,12,B+9.5,52
2023-05-31 19:59:10,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,13,B+0.5,162
2023-05-31 19:58:25,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,14,W+0.5,66
2023-05-31 19:58:41,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,15,B+11.5,98
2023-05-31 19:58:36,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,16,W+0.5,68
2023-05-31 19:58:37,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,17,W+3.5,99
2023-05-31 19:58:51,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,18,B+3.5,136
2023-05-31 19:58:46,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,19,B+3.5,79
2023-05-31 19:58:48,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,20,W+4.5,83
2023-05-31 19:58:46,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,21,W+5.5,108
2023-05-31 19:58:40,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,22,W+0.5,74
2023-05-31 19:58:44,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,23,W+0.5,62
2023-05-31 19:58:53,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,24,B+3.5,65
2023-05-31 19:58:49,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,25,B+5.5,78
2023-05-31 19:58:55,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,26,W+0.5,87
2023-05-31 19:59:07,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,27,W+4.5,94
2023-05-31 19:58:51,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,28,B+1.5,68
2023-05-31 19:58:56,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,29,W+0.5,74
2023-05-31 19:59:13,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,30,W+1.5,118
2023-05-31 19:59:06,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,31,B+11.5,98
2023-05-31 19:59:00,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,32,B+1.5,59
2023-05-31 19:59:07,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,33,W+0.5,71
2023-05-31 19:59:28,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,34,W+14.5,162
2023-05-31 19:59:14,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,35,B+1.5,109
2023-05-31 19:59:17,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,36,B+1.5,102
2023-05-31 19:59:13,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,37,B+2.5,100
2023-05-31 19:59:17,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,38,W+0.5,87
2023-05-31 19:59:20,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,39,W+0.5,113
2023-05-31 19:59:10,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,40,B+9.5,52
2023-05-31 19:59:22,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,41,W+3.5,98
2023-05-31 19:59:21,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,42,W+9.5,83
2023-05-31 19:59:16,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,43,W+0.5,79
2023-05-31 19:59:15,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,44,B+1.5,73
2023-05-31 19:59:17,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,45,B+9.5,52
2023-05-31 19:59:31,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,46,W+1.5,117
2023-05-31 19:59:18,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,47,W+0.5,58
2023-05-31 19:59:22,./checkpoints/go/9x9_12b64/training_steps_149000.ckpt,./checkpoints/go/9x9_12b64/training_steps_171000.ckpt,48,W+0.5,70
