iteration,step,train_episode_return,train_num_episodes,train_step_rate,train_exploration_epsilon
1,20000,26.67156208277704,749,16035.791501771251,0.8100095
2,40000,49.2320987654321,405,15915.202806326442,0.6200094999999999
3,60000,116.71176470588236,170,15783.335511827034,0.4300095
4,80000,233.78823529411764,85,15717.205168286097,0.2400095
5,100000,299.030303030303,66,15558.461794976076,0.0500094999999999
6,120000,348.9122807017544,57,15790.62636253183,0.05
7,140000,361.74545454545455,55,15750.264598356553,0.05
8,160000,328.26666666666665,60,15728.955851907596,0.05
9,180000,304.24615384615385,65,15447.859706526431,0.05
10,200000,314.9047619047619,63,15537.788251809145,0.05
11,220000,318.64516129032256,62,15574.964683675023,0.05
12,240000,363.3818181818182,55,15363.586145190488,0.05
13,260000,403.18367346938777,49,15243.666650164889,0.05
14,280000,414.375,48,15218.691423926097,0.05
15,300000,396.94,50,15281.487583850656,0.05
16,320000,418.6595744680851,47,15260.580427269262,0.05
17,340000,395.22,50,15239.870029813195,0.05
18,360000,405.57142857142856,49,15239.235376731283,0.05
19,380000,399.3,50,15299.76397635153,0.05
20,400000,409.2708333333333,48,15330.29583042489,0.05
21,420000,390.2745098039216,51,15252.06426966029,0.05
22,440000,332.18333333333334,60,15373.220942425958,0.05
23,460000,379.6538461538461,52,15438.418641710294,0.05
24,480000,365.3888888888889,54,15380.297377932093,0.05
25,500000,381.4807692307692,52,15332.61594986505,0.05
26,520000,373.4528301886792,53,15480.36975950345,0.05
27,540000,395.18,50,15341.880364422768,0.05
28,560000,389.9803921568628,51,15345.655209535564,0.05
29,580000,381.6538461538461,52,14693.923400837111,0.05
30,600000,279.6056338028169,71,15096.26564410029,0.05
31,620000,327.75409836065575,61,15380.670538375269,0.05
32,640000,360.6545454545454,55,15870.518873608677,0.05
33,660000,366.72222222222223,54,14822.0627705623,0.05
34,680000,358.4727272727273,55,15579.978960805114,0.05
35,700000,388.05882352941177,51,15171.26770533771,0.05
36,720000,398.24,50,15420.18859728674,0.05
37,740000,370.7547169811321,53,15600.431562858705,0.05
38,760000,402.3673469387755,49,15609.727028472402,0.05
39,780000,366.962962962963,54,15624.737638690483,0.05
40,800000,350.55357142857144,56,15724.598414745828,0.05
41,820000,322.53225806451616,62,15056.6334715654,0.05
42,840000,312.078125,64,15758.383351815186,0.05
43,860000,362.8888888888889,54,15734.053387785903,0.05
44,880000,425.0212765957447,47,15587.64214535046,0.05
45,900000,418.0212765957447,47,14540.44226995674,0.05
46,920000,391.6666666666667,51,15348.181069566766,0.05
47,940000,331.23728813559325,59,15466.864433831694,0.05
48,960000,366.22222222222223,54,15667.618578684896,0.05
49,980000,420.82978723404256,47,15368.981465559184,0.05
50,1000000,395.72,50,15411.37025836091,0.05
