iteration,step,train_episode_return,train_num_episodes,train_step_rate,train_exploration_epsilon
1,20000,24.627620221948213,811,9806.873947271068,0.8100095
2,40000,33.43478260869565,598,10346.195030318388,0.6200094999999999
3,60000,58.967455621301774,338,10587.140096207791,0.4300095
4,80000,136.73972602739727,146,10387.061167375068,0.2400095
5,100000,247.65,80,10346.247845971428,0.0500094999999999
6,120000,313.6825396825397,63,10343.390227685884,0.05
7,140000,394.0,50,10523.78724466444,0.05
8,160000,451.29545454545456,44,10002.569269943226,0.05
9,180000,436.24444444444447,45,10525.23585041262,0.05
10,200000,470.2619047619048,42,10483.916744396516,0.05
11,220000,475.07142857142856,42,10503.369950584029,0.05
12,240000,480.3170731707317,41,10323.298256915532,0.05
13,260000,487.7560975609756,41,9889.327228645954,0.05
14,280000,494.35,40,10441.478082116952,0.05
15,300000,477.9512195121951,41,10292.254801921894,0.05
16,320000,474.54761904761904,42,10452.15677445611,0.05
17,340000,479.5121951219512,41,10435.955579259637,0.05
18,360000,480.1219512195122,41,10523.775372251868,0.05
19,380000,451.8636363636364,44,10488.648436297495,0.05
20,400000,470.2619047619048,42,10311.862056660686,0.05
21,420000,478.8292682926829,41,9950.659228331882,0.05
22,440000,453.1136363636364,44,10502.10542955288,0.05
23,460000,473.3571428571428,42,10332.680871368157,0.05
24,480000,486.780487804878,41,10190.729774899411,0.05
25,500000,457.8139534883721,43,9944.365565655162,0.05
26,520000,481.3414634146341,41,10550.64415332795,0.05
27,540000,471.0952380952381,42,10547.7039127357,0.05
28,560000,461.8837209302326,43,10457.202804229926,0.05
29,580000,468.4761904761905,42,10566.68745953021,0.05
30,600000,470.1904761904762,42,10466.963489999462,0.05
31,620000,473.3809523809524,42,10394.584670862869,0.05
32,640000,489.95,40,9952.91109061395,0.05
33,660000,472.6904761904762,42,10882.5657788866,0.05
34,680000,473.6666666666667,42,10368.159007956569,0.05
35,700000,456.3953488372093,43,11109.035079334306,0.05
36,720000,489.7,40,11287.70489633455,0.05
37,740000,464.6666666666667,42,11274.2813676405,0.05
38,760000,444.1777777777778,45,11279.68817525179,0.05
39,780000,493.075,40,11288.962034923745,0.05
40,800000,467.95238095238096,42,9307.180990546374,0.05
41,820000,474.5238095238095,42,11088.49845325293,0.05
42,840000,470.9285714285714,42,10939.756855590307,0.05
43,860000,469.95238095238096,42,11062.68052113952,0.05
44,880000,483.5121951219512,41,10999.41928017084,0.05
45,900000,475.0238095238095,42,11091.510587962342,0.05
46,920000,480.1951219512195,41,11069.762166999732,0.05
47,940000,488.025,40,11132.98797056682,0.05
48,960000,483.5121951219512,41,10969.409233310056,0.05
49,980000,468.1904761904762,42,11098.032843920895,0.05
50,1000000,492.925,40,11170.87987991279,0.05
