iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon
1,20000,-200.0,-200.0,100,100,22060.762564998666,3673.710314925525,0.8020099
2,40000,-200.0,-200.0,100,100,22102.54267573932,2069.967997174864,0.6040098999999999
3,60000,-200.0,-200.0,100,100,21988.48482400161,2042.6877390715613,0.4060099
4,80000,-200.0,-199.97,100,100,22056.559545210726,2034.625708121935,0.2080099
5,100000,-200.0,-198.19,100,100,22058.17883047847,2021.193986890928,0.0100098999999999
6,120000,-200.0,-193.55339805825244,100,103,22117.33958616995,2017.4200079961836,0.01
7,140000,-200.0,-193.6504854368932,100,103,21898.331183468585,2021.484174922439,0.01
8,160000,-200.0,-196.1980198019802,100,101,21895.02117683648,2013.825423446404,0.01
9,180000,-200.0,-196.0392156862745,100,102,21567.94160312293,1953.521107309862,0.01
10,200000,-138.4375,-181.14545454545456,144,110,21911.24385064023,1965.5562203958557,0.01
11,220000,-136.37671232876713,-160.29032258064515,146,124,22043.26915846653,1950.5977383279196,0.01
12,240000,-158.33333333333334,-153.51538461538462,126,130,21737.752733817244,1912.4132642378863,0.01
13,260000,-164.70247933884298,-145.45985401459853,121,137,23283.727975657657,1927.0561285149188,0.01
14,280000,-200.0,-142.56428571428572,100,140,23112.397869716635,1872.6401804800269,0.01
15,300000,-157.78571428571428,-136.69655172413792,126,145,22684.668805454145,2021.631247331383,0.01
16,320000,-126.81528662420382,-127.90384615384616,157,156,22995.617472227743,1985.195907348911,0.01
17,340000,-144.5072463768116,-132.64666666666668,138,150,21573.699554652427,1855.264157791804,0.01
18,360000,-135.4421768707483,-132.98666666666668,147,150,21732.700390167185,1910.701943367878,0.01
19,380000,-132.20529801324503,-129.7792207792208,151,154,21832.29107521875,1925.035609048757,0.01
20,400000,-131.18421052631578,-121.40853658536584,152,164,23367.56913550599,1902.3124457681836,0.01
21,420000,-133.01333333333332,-125.30188679245283,150,159,23043.47558732958,2015.6226568465609,0.01
22,440000,-129.4935064935065,-111.1,154,180,21768.24171962971,1931.806138137448,0.01
23,460000,-108.44021739130434,-104.4607329842932,184,191,23057.21234404166,1865.660483853443,0.01
24,480000,-138.30555555555554,-103.11398963730568,144,193,21805.58192652165,1958.053163774838,0.01
25,500000,-144.71014492753622,-103.72916666666669,138,192,21475.744619684978,1867.137537219283,0.01
26,520000,-186.7009345794393,-108.6448087431694,107,183,23165.008896397943,1935.845028898129,0.01
27,540000,-122.58282208588956,-112.23033707865169,163,178,23399.92333366484,1958.6913928274416,0.01
28,560000,-116.91228070175438,-115.69186046511628,171,172,22715.64863941342,1976.6225862705949,0.01
29,580000,-150.18045112781954,-119.19161676646706,133,167,23097.51166580489,1980.8351846613696,0.01
30,600000,-150.09774436090223,-125.77987421383648,133,159,21891.75053449337,1990.3853165428447,0.01
31,620000,-129.3116883116883,-111.12849162011172,154,179,21866.64640123824,1885.849845299637,0.01
32,640000,-116.91812865497076,-115.1329479768786,171,173,21931.53647172964,1947.5761203643767,0.01
33,660000,-109.08196721311477,-107.76216216216216,183,185,21730.849611089485,1968.858012867242,0.01
34,680000,-112.8465909090909,-109.6043956043956,176,182,22046.252804687923,1967.2687994907287,0.01
35,700000,-112.6723163841808,-103.4041450777202,177,193,22423.02612659296,1956.669863633052,0.01
36,720000,-114.39080459770116,-104.36649214659684,174,191,21842.48429837306,1972.3157750215653,0.01
37,740000,-108.99453551912568,-105.7872340425532,183,188,22063.126025550537,1958.8907634918296,0.01
38,760000,-109.6153846153846,-105.63492063492065,182,189,21993.753795916247,1957.636896519485,0.01
39,780000,-111.4581005586592,-105.68783068783068,179,189,22219.79804225876,1931.4854499776195,0.01
40,800000,-109.77472527472528,-103.55440414507773,182,193,22505.48650283278,2030.191259873502,0.01
41,820000,-110.14917127071824,-106.71657754010695,181,187,22645.4152639162,2026.8742248138356,0.01
42,840000,-139.1818181818182,-106.27659574468083,143,188,23171.99400734004,2032.744437963108,0.01
43,860000,-110.41988950276244,-111.20111731843576,181,179,22094.57052187888,2041.751027025188,0.01
44,880000,-114.11428571428571,-103.93229166666669,175,192,22489.97117646769,2018.6183519152128,0.01
45,900000,-114.5919540229885,-108.54891304347828,174,184,22994.06928112292,2038.4106772417765,0.01
46,920000,-109.21857923497268,-106.9090909090909,183,187,22488.014284741825,2032.9841166463843,0.01
47,940000,-110.91111111111113,-108.99453551912568,180,183,23132.63899884642,2031.943140603295,0.01
48,960000,-111.16201117318435,-106.3191489361702,179,188,23123.090452554785,2042.939731404114,0.01
49,980000,-112.954802259887,-107.03763440860214,177,186,23022.559738376352,2041.213081907972,0.01
50,1000000,-121.47560975609755,-104.52356020942408,164,191,23067.37341499845,2021.863273949678,0.01
