iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon
1,20000,228.67816091954023,23.802380952380958,87,840,34823.512393273966,5612.630691722262,0.9010099
2,40000,230.93023255813952,36.27041742286752,86,551,35213.98633613054,3373.517037753467,0.7030099000000001
3,60000,293.9558823529412,73.19852941176471,68,272,35272.2185581623,3581.118415994522,0.5050099
4,80000,298.2089552238806,177.82882882882882,67,111,34979.01042507451,3522.21861360758,0.3070099
5,100000,276.1111111111111,255.23076923076923,72,78,35032.04054073791,3564.227908808431,0.1090099
6,120000,258.2077922077922,276.8611111111111,77,72,35164.99468255909,3574.790867151361,0.01
7,140000,277.6388888888889,270.2162162162162,72,74,34996.24960066354,3579.359368847684,0.01
8,160000,305.109375,262.0263157894737,64,76,35173.860700165525,3574.6243941525163,0.01
9,180000,495.1,357.5272727272727,40,55,35184.75038310827,3538.751236970409,0.01
10,200000,197.88118811881188,400.3061224489796,101,49,34909.62576010755,3513.175537576355,0.01
11,220000,132.17880794701986,262.6842105263158,151,76,35101.25230898685,3537.862512044249,0.01
12,240000,332.9166666666667,337.35593220338984,60,59,34816.536896195896,3452.2687352556845,0.01
13,260000,500.0,375.7358490566038,40,53,35006.8760155987,3339.9989252117784,0.01
14,280000,500.0,467.0238095238095,40,42,35193.84857139175,3464.5403438338813,0.01
15,300000,500.0,493.725,40,40,35527.458735848515,3480.8456498971445,0.01
16,320000,489.375,464.7906976744186,40,43,35228.9446589158,3459.443169483889,0.01
17,340000,427.5217391304348,416.3958333333333,46,48,35083.50644618245,3435.809453979189,0.01
18,360000,500.0,475.7560975609756,40,41,34962.72051849071,3365.7958395821347,0.01
19,380000,500.0,500.0,40,40,35224.203508316044,3393.2882151032823,0.01
20,400000,214.51612903225808,484.8292682926829,93,41,34574.131672321855,3348.6944073908994,0.01
21,420000,500.0,474.6190476190476,40,42,34986.757215029334,3349.9944273257306,0.01
22,440000,500.0,500.0,40,40,35009.30901025644,3373.008752989173,0.01
23,460000,500.0,498.55,40,40,35038.161936685145,3367.0935166810013,0.01
24,480000,500.0,491.4,40,40,35211.54402867652,3362.1731123218287,0.01
25,500000,500.0,454.3181818181818,40,44,34694.24787670446,3313.169891601274,0.01
26,520000,500.0,477.2682926829268,40,41,34772.482646320364,3323.651362975192,0.01
27,540000,147.36296296296297,407.0204081632653,135,49,34782.784545306866,3314.170383693856,0.01
28,560000,500.0,341.5689655172414,40,58,34807.679547303866,3264.3720036133755,0.01
29,580000,500.0,322.21311475409834,40,61,34848.189048050226,3204.6149300686675,0.01
30,600000,316.0952380952381,446.6818181818182,63,44,34930.222601430185,3338.034323232964,0.01
31,620000,500.0,362.5925925925926,40,54,34726.30919535309,3310.8440575689847,0.01
32,640000,500.0,490.525,40,40,34654.26851071935,3324.4974386060926,0.01
33,660000,487.825,483.0731707317073,40,41,34677.04357313419,3348.1132724644945,0.01
34,680000,500.0,435.55555555555554,40,45,34209.19459234785,3321.4257022264305,0.01
35,700000,496.6,352.7678571428572,40,56,34734.92272105124,3255.2163553436512,0.01
36,720000,452.2272727272728,424.9782608695652,44,46,33768.368580581584,3138.0963621948904,0.01
37,740000,500.0,325.0983606557377,40,61,34876.78286344405,3279.5296852452448,0.01
38,760000,500.0,465.6904761904762,40,42,34629.55701465918,3365.825594364935,0.01
39,780000,500.0,479.6341463414634,40,41,35035.376752690616,3377.510663939206,0.01
40,800000,500.0,500.0,40,40,34161.407152248175,3310.392499795195,0.01
41,820000,500.0,487.5121951219512,40,41,34723.793232726144,3307.508072165322,0.01
42,840000,190.42307692307693,333.93220338983053,104,59,34890.03018364625,3225.488103220257,0.01
43,860000,237.47619047619048,303.0,84,66,36358.91843035987,3326.513190691229,0.01
44,880000,500.0,299.6818181818182,40,66,36303.32531927313,3053.8018266831023,0.01
45,900000,486.0,252.39240506329116,41,79,35540.33121497056,3055.526896962308,0.01
46,920000,500.0,448.95454545454544,40,44,28121.1947058452,2912.246749290056,0.01
47,940000,500.0,489.275,40,40,35396.046309044366,2993.9461329870896,0.01
48,960000,500.0,500.0,40,40,27745.181043536923,2944.0720494416246,0.01
49,980000,500.0,500.0,40,40,36627.63329380714,2884.74775639736,0.01
50,1000000,500.0,490.25,40,40,36615.64500504277,3447.235147127024,0.01
