iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
1,1000000,-16.685185185185187,-20.23282442748092,108,262,1279.4092539394558,319.1370622052557,0.8200008999999999,0.1137341307312978,0.1137341307312978,0.8862658692687022
2,2000000,-17.53968253968254,-18.77386934673367,126,199,1334.3915324530092,256.57409888780927,0.5950008999999999,0.08952740680786,0.08952740680786,0.91047259319214
3,3000000,-9.134328358208956,-17.428571428571427,67,154,1297.389446673177,249.0802533703852,0.3700008999999999,0.3276394232801995,0.3276394232801995,0.6723605767198004
4,4000000,-2.306122448979592,-12.62135922330097,49,103,1301.0434243590823,244.3048434839997,0.1450009,0.5210730184425044,0.5210730184425044,0.4789269815574956
5,5000000,2.25,-3.5970149253731343,48,67,1290.8085897827646,227.917119758233,0.1,0.6501416430594901,0.6501416430594901,0.3498583569405099
6,6000000,8.693548387096774,2.073529411764706,62,68,1317.7391692801143,247.2104129350208,0.1,0.8326784245636479,0.8326784245636479,0.167321575436352
7,7000000,12.833333333333334,5.7560975609756095,78,82,1346.273054241895,252.62199306260644,0.1,0.9499527856468366,0.9499527856468366,0.0500472143531633
8,8000000,5.192982456140351,9.263736263736265,57,91,1328.446731065622,266.4757006995488,0.1,0.733512250882163,0.733512250882163,0.266487749117837
9,9000000,12.243589743589745,10.45360824742268,78,97,1307.8856600101494,272.1358399527158,0.1,0.9332461683736472,0.9332461683736472,0.0667538316263528
10,10000000,19.2,11.811881188118813,110,101,1263.757011901372,264.03538786566446,0.1,1.1303116147308785,1.0,0.0
11,11000000,15.728155339805824,13.710280373831775,103,107,1345.7049402621717,266.04342690095666,0.1,1.0319590747820349,1.0,0.0
12,12000000,19.782608695652176,13.38317757009346,115,107,1329.8237619228105,246.18115024077855,0.1,1.146816110358419,1.0,0.0
13,13000000,20.034188034188038,14.902654867256636,117,113,1283.784150191395,259.75145400295486,0.1,1.153943003801361,1.0,0.0
14,14000000,19.82456140350877,14.267857142857142,114,112,1302.558699866643,265.80742963996204,0.1,1.148004572337359,1.0,0.0
15,15000000,19.245454545454542,14.236363636363636,110,110,1314.3868063042355,265.86000744114966,0.1,1.131599278908061,1.0,0.0
16,16000000,17.670212765957448,15.157894736842104,94,114,1275.0375296334928,265.2224744359536,0.1,1.086974865891146,1.0,0.0
17,17000000,19.53913043478261,14.557522123893806,115,113,1306.6528737591796,266.3620211635244,0.1,1.1399187092006406,1.0,0.0
18,18000000,20.491525423728813,15.75,118,116,1295.0978440088215,267.43062326402406,0.1,1.1668987372161137,1.0,0.0
19,19000000,19.43859649122807,15.321739130434782,114,115,1275.0655186148178,268.1933732381968,0.1,1.137070722131107,1.0,0.0
20,20000000,19.473214285714285,14.47787610619469,112,113,1246.192759087541,268.4065701154617,0.1,1.138051396195872,1.0,0.0
