iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon
1,20000,269.93243243243245,26.821476510067114,74,745,32606.20746181793,2098.350490089643,0.8020099
2,40000,324.327868852459,54.00813008130081,61,369,33254.570216309745,2438.1806634746345,0.6040098999999999
3,60000,266.26666666666665,126.14012738853503,75,157,33279.67717541385,2449.422099234508,0.4060099
4,80000,266.50666666666666,277.125,75,72,33335.548591654595,2400.871363129221,0.2080099
5,100000,500.0,483.2926829268293,40,41,33090.00882126222,2207.390744190792,0.0100098999999999
6,120000,500.0,500.0,40,40,32521.588785952707,2097.0834065856197,0.01
7,140000,500.0,498.775,40,40,33199.57925573657,2110.9597587912235,0.01
8,160000,222.7528089887641,306.61538461538464,89,65,33080.310309869325,2098.72301825384,0.01
9,180000,296.1044776119403,238.65060240963857,67,83,32571.45889828764,1892.71737064768,0.01
10,200000,467.8095238095238,366.9259259259259,42,54,33209.2531579997,1891.6248631987785,0.01
11,220000,321.7741935483871,420.4255319148936,62,47,33145.85084391315,1829.8576556355715,0.01
12,240000,483.8292682926829,461.4651162790698,41,43,33446.76234188778,1840.421400110019,0.01
13,260000,382.2884615384616,459.90697674418607,52,43,33219.9386231133,1974.8505018198816,0.01
14,280000,499.925,450.1590909090909,40,44,33319.3486473746,2085.838098107954,0.01
15,300000,500.0,495.1,40,40,33534.63318500922,2085.683172842585,0.01
16,320000,199.7,342.8965517241379,100,58,32724.155935860428,1849.5213937586384,0.01
17,340000,421.0425531914894,407.0408163265306,47,49,33012.239020182955,2074.514314747505,0.01
18,360000,500.0,375.38461538461536,40,52,33209.72276003295,2074.51441394574,0.01
19,380000,500.0,424.06382978723406,40,47,33162.40913646634,2101.3717902774342,0.01
20,400000,346.0,420.48936170212767,57,47,33175.63516327935,2119.733296343682,0.01
21,420000,500.0,375.622641509434,40,53,33247.62676989168,2113.5919726374163,0.01
22,440000,496.875,299.54545454545456,40,66,33141.533282539865,2112.4046175513035,0.01
23,460000,344.58620689655174,395.12,58,50,33257.877583513655,2068.9751665848253,0.01
24,480000,500.0,376.4230769230769,40,52,33055.402899738234,2078.428395603657,0.01
25,500000,495.125,402.0204081632653,40,49,32962.47195706699,2100.832991163419,0.01
26,520000,400.734693877551,399.8979591836735,49,49,33112.85371478522,2042.9540415361128,0.01
27,540000,364.8888888888889,393.4,54,50,33384.36010365971,2054.386031354288,0.01
28,560000,414.1458333333333,429.2391304347826,48,46,33062.526772777135,2050.892305597973,0.01
29,580000,348.56140350877195,300.4848484848485,57,66,33072.02760530093,2045.2536171593304,0.01
30,600000,500.0,408.4791666666667,40,48,33184.09725808488,2064.1295743998057,0.01
31,620000,280.4788732394366,329.03333333333336,71,60,33519.73855477769,2065.57091561896,0.01
32,640000,458.3255813953488,338.7586206896552,43,58,33670.45477745862,2070.3151168297886,0.01
33,660000,399.83673469387753,454.3636363636364,49,44,33954.3572254103,2062.926236519951,0.01
34,680000,232.46511627906975,305.24615384615385,86,65,33438.07895157682,2063.5096711745505,0.01
35,700000,500.0,369.50943396226415,40,53,33157.507800943014,2056.878365645658,0.01
36,720000,273.5753424657534,411.4583333333333,73,48,32995.19500047524,2027.8750793841696,0.01
37,740000,272.8767123287671,322.08196721311475,73,61,33422.6762691365,2060.236340057042,0.01
38,760000,484.5609756097561,311.859375,41,64,33256.943353857925,2060.2340095764816,0.01
39,780000,500.0,402.83673469387753,40,49,33361.89918146069,2068.06985715215,0.01
40,800000,483.8048780487805,334.35593220338984,41,59,33099.04154708074,2054.208490392126,0.01
41,820000,307.16923076923075,335.22033898305085,65,59,32567.62759057348,2045.8645045020971,0.01
42,840000,310.15625,350.0,64,57,32851.7040815389,2023.1369696772224,0.01
43,860000,273.52054794520546,328.6333333333333,73,60,33304.16410318417,2001.3861109863951,0.01
44,880000,336.4237288135593,352.60714285714283,59,56,33410.431244434825,1965.8328279859325,0.01
45,900000,357.3636363636364,341.5689655172414,55,58,33099.421815621616,2021.4509044238555,0.01
46,920000,380.2307692307692,441.31111111111113,52,45,33351.65339656012,2027.702883963428,0.01
47,940000,448.6818181818182,380.0192307692308,44,52,33249.560013976894,2032.3376558445768,0.01
48,960000,455.6511627906977,456.3255813953488,43,43,33317.54459317187,2037.4519146169628,0.01
49,980000,296.13432835820896,280.2535211267606,67,71,33245.92188111749,2040.0099934296857,0.01
50,1000000,214.01075268817203,316.2857142857143,93,63,33424.94391827875,2061.250915447051,0.01
