iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
1,1000000,1604.0758293838862,1561.313432835821,422,335,1184.8756702563694,687.987357513714,0.8020009899999999,0.0168304337516325,0.0168304337516325,0.9831695662483674
2,2000000,3047.540106951872,2030.1714285714288,187,350,1284.3898551420998,529.3829492762618,0.55450099,0.1083076210876055,0.1083076210876055,0.8916923789123945
3,3000000,2449.2836676217767,2477.2865853658536,349,328,1121.171232001995,473.39205006260335,0.30700099,0.0703940978878783,0.0703940978878783,0.9296059021121216
4,4000000,3076.0661764705883,2878.204334365325,272,323,1331.2708548347089,465.22708136156814,0.0595009899999999,0.1101154140796976,0.1101154140796976,0.8898845859203024
5,5000000,2969.21875,3203.3870967741937,320,310,1275.7143893781245,471.5683855303416,0.01,0.1033441332108115,0.1033441332108115,0.8966558667891885
6,6000000,3484.097744360902,3454.189189189189,266,296,1123.9727751624473,483.640563875388,0.01,0.1359737472265219,0.1359737472265219,0.8640262527734781
7,7000000,4293.868312757201,3734.113475177305,243,282,1135.8476644868642,465.57737229358565,0.01,0.1872916323557274,0.1872916323557274,0.8127083676442726
8,8000000,4071.229508196721,4322.038461538462,244,260,1353.394528448138,462.6848136227644,0.01,0.1731822623148212,0.1731822623148212,0.8268177376851789
9,9000000,5214.882352941177,4611.983805668016,170,247,1142.1892071215998,470.7610402656257,0.01,0.2456593905346289,0.2456593905346289,0.7543406094653711
10,10000000,4514.931506849315,4717.777777777777,146,243,1273.0051766848158,468.5210718950502,0.01,0.2013011506606239,0.2013011506606239,0.7986988493393761
11,11000000,4881.866666666667,4900.765957446809,150,235,1269.0545749736398,473.9926054795832,0.01,0.2245550661723544,0.2245550661723544,0.7754449338276456
12,12000000,4858.70786516854,4957.046413502109,178,237,1225.3369015967462,482.24791273688254,0.01,0.2230874150111562,0.2230874150111562,0.7769125849888437
13,13000000,5703.8125,4943.519313304721,160,233,1160.610501811855,495.96460086799567,0.01,0.2766445388003422,0.2766445388003422,0.7233554611996578
14,14000000,5465.235294117647,5159.519650655022,170,229,1223.024686329644,490.77767275047466,0.01,0.261525098648097,0.261525098648097,0.738474901351903
15,15000000,5698.258064516129,5332.311111111111,155,225,1196.711332316764,493.32827072910254,0.01,0.2762925355376361,0.2762925355376361,0.7237074644623639
16,16000000,4812.072538860104,5525.1569506726455,193,223,1125.5356151901417,484.6567642885368,0.01,0.22013197749359,0.22013197749359,0.77986802250641
17,17000000,6194.226190476191,5629.62962962963,168,216,1218.9863689920128,498.67554902868267,0.01,0.3077237042033138,0.3077237042033138,0.6922762957966861
18,18000000,5605.776397515528,5596.396396396396,161,222,1166.2676993778907,489.66010844357794,0.01,0.2704316611752925,0.2704316611752925,0.7295683388247075
19,19000000,5414.790419161676,5553.698630136986,167,219,1160.9571057267551,493.339889403264,0.01,0.2583282372167481,0.2583282372167481,0.7416717627832519
20,20000000,6308.525641025641,5499.203539823009,156,226,1209.0333080422058,488.515965054046,0.01,0.3149672449079908,0.3149672449079908,0.6850327550920092
