iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
1,1000000,1458.071428571429,1610.4651162790697,420,344,1021.2631570583954,520.8108911460895,0.8020009899999999,0.0075776436877866,0.0075776436877866,0.9924223563122134
2,2000000,2633.175965665236,2039.1666666666667,233,348,976.1235181651376,451.8062614318874,0.55450099,0.082047971460771,0.082047971460771,0.917952028539229
3,3000000,3383.982683982684,2535.33950617284,231,324,984.1652977787248,446.44601968782223,0.30700099,0.1296291190457672,0.1296291190457672,0.8703708809542328
4,4000000,3405.20325203252,2944.6130030959757,246,323,959.4805753224828,442.11570902046486,0.0595009899999999,0.1309739378327906,0.1309739378327906,0.8690260621672093
5,5000000,3658.565217391305,3439.6539792387543,230,289,982.8793378886706,437.3665070790116,0.01,0.147030337931576,0.147030337931576,0.852969662068424
6,6000000,4315.738396624472,3860.6620209059233,237,287,961.8459973915571,434.2678449003353,0.01,0.1886776131451866,0.1886776131451866,0.8113223868548134
7,7000000,4748.080357142857,4742.269230769231,224,260,988.080613149314,439.4677378278413,0.01,0.2160765776572678,0.2160765776572678,0.7839234223427323
8,8000000,5494.587155963302,5168.346456692913,218,254,954.9731725926526,437.5932134477308,0.01,0.2633852248780571,0.2633852248780571,0.736614775121943
9,9000000,5878.628571428571,5412.509652509652,175,259,1002.2088680796596,439.4781539897861,0.01,0.2877232213586344,0.2877232213586344,0.7122767786413656
10,10000000,5926.502463054188,5969.713114754099,203,244,985.5046096432328,435.1431068923584,0.01,0.2907571509271008,0.2907571509271008,0.7092428490728993
11,11000000,6746.7597765363125,6026.254980079681,179,251,969.5130037842348,437.8591493596703,0.01,0.3427396163716412,0.3427396163716412,0.6572603836283588
12,12000000,6797.079207920792,6752.489451476793,202,237,1014.10999761574,435.4139024184595,0.01,0.3459285280218506,0.3459285280218506,0.6540714719781493
13,13000000,7308.13829787234,6784.472573839663,188,237,1022.676375993916,435.3770247216974,0.01,0.3783160618443132,0.3783160618443132,0.6216839381556868
14,14000000,6002.804878048781,6930.978723404255,164,235,974.3443206268656,430.42991161356775,0.01,0.295592691659988,0.295592691659988,0.704407308340012
15,15000000,7665.280898876404,7138.672566371682,178,226,1036.354467349768,427.2521378923968,0.01,0.4009493899601637,0.4009493899601637,0.5990506100398363
16,16000000,6351.868686868687,7236.218487394958,198,238,1005.284403575295,428.575743801408,0.01,0.3177140395366575,0.3177140395366575,0.6822859604633424
17,17000000,7852.362637362637,7165.757575757576,182,231,998.1591755141778,431.0229496167137,0.01,0.4128053891037509,0.4128053891037509,0.5871946108962491
18,18000000,7210.265957446809,7332.923728813559,188,236,1013.4943023164246,433.1527743731774,0.01,0.3721135623718627,0.3721135623718627,0.6278864376281372
19,19000000,7668.032786885245,7419.91341991342,183,231,985.212492007258,435.4432884078158,0.01,0.401123786361117,0.401123786361117,0.598876213638883
20,20000000,7846.741573033708,7405.407725321888,178,233,990.1413448303864,439.7540969750817,0.01,0.4124491633469823,0.4124491633469823,0.5875508366530177
21,21000000,7347.166666666667,7326.9327731092435,180,238,988.9894855446591,436.88285430097017,0.01,0.3807894208730737,0.3807894208730737,0.6192105791269262
22,22000000,7364.334975369458,7266.541666666667,203,240,985.307001739998,440.8936731433855,0.01,0.3818774343527651,0.3818774343527651,0.6181225656472349
23,23000000,7363.349282296651,7537.950819672131,209,244,974.7941148584624,436.2280491788973,0.01,0.3818149676666973,0.3818149676666973,0.6181850323333027
24,24000000,7627.628865979382,7667.896995708154,194,233,961.7202951135738,436.66194104783153,0.01,0.3985632539674503,0.3985632539674503,0.6014367460325497
25,25000000,7688.393782383419,7727.167381974249,193,233,961.26558538067,436.10128531547525,0.01,0.402414131143789,0.402414131143789,0.597585868856211
26,26000000,6842.431192660551,7432.827004219409,218,237,953.7059040443006,440.9838099401193,0.01,0.3488026358668241,0.3488026358668241,0.6511973641331759
27,27000000,7948.315789473684,7324.206008583691,190,233,985.293005819241,435.9074877344492,0.01,0.418886263156227,0.418886263156227,0.581113736843773
28,28000000,6875.1,7443.0,200,240,1004.1649718454098,467.6661355723064,0.01,0.3508729680915111,0.3508729680915111,0.6491270319084889
29,29000000,7736.380368098159,7024.978902953587,163,237,1067.7510655715446,468.6085578399527,0.01,0.4054552025158059,0.4054552025158059,0.5945447974841941
30,30000000,7576.224489795918,7235.083333333333,196,240,1069.2656839850647,465.8733413270433,0.01,0.395305585715385,0.395305585715385,0.6046944142846149
31,31000000,6390.328947368421,7403.713080168776,152,237,1019.793810430582,467.5318864243842,0.01,0.3201513956315739,0.3201513956315739,0.6798486043684261
32,32000000,7690.819672131148,7395.173913043478,183,230,1051.9730834343766,472.5777284196284,0.01,0.4025678679382203,0.4025678679382203,0.5974321320617797
33,33000000,7728.265306122449,7366.73640167364,196,239,987.400051743364,469.1476536002277,0.01,0.4049409237379162,0.4049409237379162,0.5950590762620838
34,34000000,6903.152709359606,7185.311203319502,203,241,1019.8115924335132,465.0890301680264,0.01,0.3526507626578539,0.3526507626578539,0.6473492373421461
35,35000000,7618.011695906433,7516.582278481012,171,237,1002.810142396051,468.6595084816171,0.01,0.397953781546084,0.397953781546084,0.6020462184539159
36,36000000,7776.23595505618,7336.0526315789475,178,228,1012.5938376622256,473.1481998003102,0.01,0.4079809851425064,0.4079809851425064,0.5920190148574935
37,37000000,7281.862745098039,7363.807531380753,204,239,1023.9422813048122,469.5648309074348,0.01,0.376650891669447,0.376650891669447,0.6233491083305529
38,38000000,6365.714285714285,7304.149377593361,168,241,989.1001181568272,462.753064622258,0.01,0.318591481714521,0.318591481714521,0.681408518285479
39,39000000,7983.631578947368,7349.087136929461,190,241,1005.2809751173504,467.2084120500858,0.01,0.4211243435436717,0.4211243435436717,0.5788756564563282
40,40000000,7340.722891566265,7508.04979253112,166,241,1058.4018126760832,467.4183526439666,0.01,0.3803810571669739,0.3803810571669739,0.6196189428330261
41,41000000,7925.133689839572,7221.470588235294,187,238,1012.0119153440712,462.40172041209433,0.01,0.4174171355137724,0.4174171355137724,0.5825828644862276
42,42000000,7738.663101604278,7273.628691983123,187,237,1010.1052193420992,470.69641846310327,0.01,0.4055998670176037,0.4055998670176037,0.5944001329823962
43,43000000,7020.5392156862745,7128.75,204,232,980.832925293598,468.7187647525975,0.01,0.3600899404725292,0.3600899404725292,0.6399100595274708
44,44000000,6675.205479452055,7140.427350427351,219,234,1035.2581642101366,470.5546300450805,0.01,0.3382049798442317,0.3382049798442317,0.6617950201557683
45,45000000,7799.4708994709,7382.784810126583,189,237,980.389134025087,467.8917552803924,0.01,0.4094534617364872,0.4094534617364872,0.5905465382635128
46,46000000,7513.383838383838,7129.0717299578055,198,237,972.3745775154248,472.05601608204046,0.01,0.3913231622284507,0.3913231622284507,0.6086768377715492
47,47000000,6312.634408602151,7393.605150214592,186,233,1024.348012467086,466.58580510653263,0.01,0.3152276313319275,0.3152276313319275,0.6847723686680725
48,48000000,7744.897959183673,7212.241379310345,196,232,1059.83229944928,465.1500475534919,0.01,0.4059949909175622,0.4059949909175622,0.5940050090824378
49,49000000,6050.0,7143.6625514403295,215,243,1006.5548475345274,459.9525791245893,0.01,0.2985836053106879,0.2985836053106879,0.7014163946893122
50,50000000,7718.369565217391,7256.808510638298,184,235,1035.3693010643606,466.83410995688354,0.01,0.4043137973457582,0.4043137973457582,0.5956862026542418
