iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_step_rate,train_step_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
1,1000000,2086.1612903225805,1524.2,310,350,1501.4091163270691,686.4462885475087,0.8020009899999999,0.0473818112311911,0.0473818112311911,0.9526181887688088
2,2000000,2494.798534798535,2011.8023255813955,273,344,1387.899652905722,606.1913193240579,0.55450099,0.0732785281408495,0.0732785281408495,0.9267214718591504
3,3000000,2867.85046728972,2456.676737160121,214,331,1491.3693606510922,602.588263960293,0.30700099,0.0969200841148147,0.0969200841148147,0.9030799158851852
4,4000000,3235.601851851852,2686.645367412141,216,313,1399.1264333778051,594.2312833568694,0.0595009899999999,0.1202257265345449,0.1202257265345449,0.8797742734654551
5,5000000,3637.692307692308,3168.581560283688,156,282,1409.812189790961,588.646325860702,0.01,0.1457075514238288,0.1457075514238288,0.8542924485761711
6,6000000,3047.180616740088,3364.9640287769785,227,278,1277.6702789314324,597.4465758730236,0.01,0.1082848389834968,0.1082848389834968,0.8917151610165032
7,7000000,4294.125560538117,4036.470588235294,223,255,1149.4513362225002,425.2647874760726,0.01,0.1873079350130306,0.1873079350130306,0.8126920649869693
8,8000000,4716.4331210191085,4270.604838709677,157,248,1229.103021023953,430.4538987685811,0.01,0.214070985837264,0.214070985837264,0.785929014162736
9,9000000,4675.174418604651,4538.166666666667,172,240,1144.6491382949705,436.565640450346,0.01,0.2114562830637631,0.2114562830637631,0.7885437169362368
10,10000000,3653.65,4497.3443983402485,200,241,1212.170968485072,442.82748980527856,0.01,0.1467188440698374,0.1467188440698374,0.8532811559301625
11,11000000,5251.111111111111,4437.166666666667,162,240,1140.1221662583132,441.0843490858941,0.01,0.2479553288197415,0.2479553288197415,0.7520446711802584
12,12000000,4908.285714285715,4698.354978354978,175,231,1338.9017653104534,437.0992747448965,0.01,0.226229330098274,0.226229330098274,0.7737706699017259
13,13000000,4934.304635761589,4723.4051724137935,151,232,1200.2156672957558,428.6448640291372,0.01,0.2278782366844063,0.2278782366844063,0.7721217633155937
14,14000000,4239.494382022472,4777.012987012987,178,231,1134.8538207536292,429.8090766067358,0.01,0.1838457734416471,0.1838457734416471,0.8161542265583528
15,15000000,5526.989247311828,4735.462555066079,186,227,1155.3177698360205,432.7451105603904,0.01,0.26543865441312,0.26543865441312,0.73456134558688
16,16000000,4983.684210526316,4887.678571428572,190,224,1216.4545210310794,440.4583974091443,0.01,0.2310075864587798,0.2310075864587798,0.7689924135412202
17,17000000,5636.202531645569,4942.321428571428,158,224,1159.6594279113658,440.0665680829964,0.01,0.2723598676539541,0.2723598676539541,0.7276401323460459
18,18000000,4817.175141242938,4890.530973451328,177,226,1151.059876196231,445.91838574346986,0.01,0.2204553465726377,0.2204553465726377,0.7795446534273622
19,19000000,3750.874524714829,5044.027149321267,263,221,1118.496473018769,445.87548366172047,0.01,0.1528802892813352,0.1528802892813352,0.8471197107186648
20,20000000,5793.164556962025,5266.759259259259,158,216,1207.7146368349763,443.1075011945064,0.01,0.2823070792459853,0.2823070792459853,0.7176929207540147
21,21000000,5998.214285714285,5316.284403669725,168,218,1130.1858658456763,443.5689150549304,0.01,0.2953017703801949,0.2953017703801949,0.7046982296198051
22,22000000,6083.422459893048,5185.3125,187,224,1134.8199832059072,441.6837611263988,0.01,0.3007016990331156,0.3007016990331156,0.6992983009668844
23,23000000,5625.6551724137935,5556.338028169014,145,213,1189.059664327866,447.0290730965402,0.01,0.2716914460162739,0.2716914460162739,0.7283085539837262
24,24000000,5918.674033149171,5484.976744186047,181,215,1138.1719321122512,440.21388314443686,0.01,0.2902610369878114,0.2902610369878114,0.7097389630121885
