iteration,step,train_step_rate,train_episode_return,train_num_episodes,eval_episode_return,eval_num_episodes
1,1000000,962.8342310733916,-20.33333333333333,273,-21.0,262
2,2000000,925.6634812149588,-20.256410256410252,273,-20.931558935361217,263
3,3000000,862.1140845811196,-20.29889298892989,271,-20.93536121673004,263
4,4000000,830.9538540761354,-20.196969696969692,264,-20.93916349809886,263
5,5000000,822.2708820445815,-20.14503816793893,262,-20.954372623574145,263
6,6000000,858.981846954406,-19.88,250,-20.95582329317269,249
7,7000000,889.0374745711493,-19.54741379310345,232,-20.297029702970296,101
8,8000000,936.3117727218524,-19.02898550724637,207,-20.781690140845072,142
9,9000000,986.9717148134068,-18.51136363636364,176,-20.98275862068965,116
10,10000000,949.138221149634,-17.424836601307188,153,-20.82608695652174,92
11,11000000,909.8695134194968,-17.503496503496503,143,-20.85148514851485,101
12,12000000,865.1825540666247,-16.869565217391305,115,-20.703125,64
13,13000000,824.4950871682786,-14.575757575757576,99,-17.945454545454545,55
14,14000000,823.9645280016027,-10.670588235294115,85,7.714285714285714,70
15,15000000,853.4696373076524,1.2837837837837838,74,9.085714285714284,70
16,16000000,886.3638859608494,13.53763440860215,93,-1.3666666666666667,60
17,17000000,962.124993547923,5.351648351648351,91,9.914634146341465,82
18,18000000,989.3707824015356,6.836363636363636,110,-20.99236641221374,262
19,19000000,928.8975353735012,-1.112781954887218,133,11.844155844155845,77
20,20000000,875.7501462818356,16.980198019801982,101,11.428571428571429,70
21,21000000,839.0832466146651,10.00900900900901,111,19.829545454545453,88
22,22000000,811.8379510783001,16.94,100,19.471910112359552,89
23,23000000,849.9448096267541,18.14953271028037,107,20.138297872340427,94
24,24000000,915.09000960761,17.653846153846153,104,19.791208791208792,91
25,25000000,954.3903513994828,18.152380952380952,105,20.155555555555555,90
26,26000000,976.9734798038266,17.523364485981308,107,20.159574468085108,94
27,27000000,889.6696415944455,17.942857142857143,105,20.19277108433735,83
28,28000000,854.21760713202,18.897196261682243,107,20.133333333333333,90
29,29000000,826.7008961531172,18.52830188679245,106,20.320987654320987,81
30,30000000,850.9653484260649,18.192307692307693,104,20.48051948051948,77
