iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes
1,20000,74.47940074906367,38.5009633911368,267,519
2,40000,165.9,130.86184210526315,120,152
3,60000,191.59615384615384,172.33620689655172,104,116
4,80000,204.5773195876289,197.54455445544556,97,101
5,100000,276.90140845070425,248.65,71,80
6,120000,309.53125,274.84722222222223,64,72
7,140000,301.45454545454544,316.61290322580646,66,62
8,160000,319.93548387096774,297.4029850746269,62,67
9,180000,296.7014925373134,341.62068965517244,67,58
10,200000,320.83870967741933,296.089552238806,62,67
11,220000,358.8909090909091,376.4150943396226,55,53
12,240000,209.21052631578948,264.16,95,75
13,260000,344.41379310344826,262.06666666666666,58,75
14,280000,395.76,353.3928571428572,50,56
15,300000,390.52941176470586,392.72,51,50
16,320000,413.8958333333333,375.2075471698113,48,53
17,340000,402.0816326530612,368.7358490566038,49,53
18,360000,247.8,359.7818181818182,80,55
19,380000,439.1111111111111,397.08,45,50
20,400000,334.96610169491527,406.6734693877551,59,49
21,420000,347.2105263157895,320.2096774193548,57,62
22,440000,363.45454545454544,272.4583333333333,55,72
23,460000,454.3720930232558,416.4166666666667,43,48
24,480000,396.56,426.39130434782606,50,46
25,500000,425.0,421.3617021276596,46,47
26,520000,471.07142857142856,442.02222222222224,42,45
27,540000,395.36,416.2083333333333,50,48
28,560000,400.0,406.7291666666667,50,48
29,580000,436.8222222222222,445.8636363636364,45,44
30,600000,410.1041666666667,441.1333333333333,48,45
31,620000,406.530612244898,437.8444444444444,49,45
32,640000,428.8043478260869,407.265306122449,46,49
33,660000,434.9555555555556,447.2272727272728,45,44
34,680000,430.9130434782609,453.6818181818182,46,44
35,700000,440.31111111111113,423.0851063829787,45,47
36,720000,458.5116279069768,465.6904761904762,43,42
37,740000,462.9302325581396,466.9047619047619,43,42
38,760000,453.4772727272728,461.7441860465116,44,43
39,780000,460.2093023255814,480.9024390243902,43,41
40,800000,346.94736842105266,433.69565217391306,57,46
41,820000,468.6666666666667,403.2244897959184,42,49
42,840000,486.7560975609756,478.6341463414634,41,41
43,860000,362.8,467.3333333333333,55,42
44,880000,450.29545454545456,443.06666666666666,44,45
45,900000,475.0952380952381,463.5813953488372,42,43
46,920000,474.7380952380952,469.6666666666667,42,42
47,940000,469.0238095238095,460.2325581395349,42,43
48,960000,484.4634146341463,474.9047619047619,41,42
49,980000,473.1904761904762,473.9761904761905,42,42
50,1000000,475.6666666666667,482.0975609756098,42,41
