iteration,step,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes
1,20000,121.1951219512195,41.25469728601253,164,479
2,40000,224.06741573033707,168.38983050847455,89,118
3,60000,282.6,246.2469135802469,70,81
4,80000,327.0,325.08196721311475,61,61
5,100000,287.40579710144925,316.6984126984127,69,63
6,120000,360.7818181818182,339.4310344827586,55,58
7,140000,389.6470588235294,375.33962264150944,51,53
8,160000,415.1666666666667,389.72549019607845,48,51
9,180000,396.64,406.9166666666667,50,48
10,200000,438.6444444444445,389.3921568627451,45,51
11,220000,444.06666666666666,443.27272727272725,45,44
12,240000,457.04651162790697,456.6046511627907,43,43
13,260000,425.7173913043478,453.1818181818182,46,44
14,280000,460.0697674418605,461.0,43,43
15,300000,472.6428571428572,457.2558139534884,42,43
16,320000,460.2093023255814,449.8181818181818,43,44
17,340000,474.5952380952381,479.3658536585366,42,41
18,360000,449.70454545454544,439.3555555555556,44,45
19,380000,465.8095238095238,450.6590909090909,42,44
20,400000,466.3095238095238,470.8095238095238,42,42
21,420000,493.15,478.780487804878,40,41
22,440000,479.9756097560976,471.7142857142857,41,42
23,460000,466.5952380952381,469.0238095238095,42,42
24,480000,485.9756097560976,478.1219512195122,41,41
25,500000,470.6428571428572,454.1136363636364,42,44
26,520000,473.9047619047619,490.425,42,40
27,540000,479.9756097560976,485.3658536585366,41,41
28,560000,492.625,478.5853658536585,40,41
29,580000,491.525,467.0,40,42
30,600000,456.1162790697674,493.925,43,40
31,620000,471.1428571428572,480.5365853658537,42,41
32,640000,479.6341463414634,457.1162790697674,41,43
33,660000,490.575,483.7073170731707,40,41
34,680000,481.4146341463415,447.5,41,44
35,700000,488.225,471.0952380952381,40,42
36,720000,499.725,489.725,40,40
37,740000,476.1428571428572,489.125,42,40
38,760000,490.975,474.2857142857143,40,42
39,780000,491.75,483.0975609756098,40,41
40,800000,498.275,494.675,40,40
41,820000,484.4390243902439,477.6341463414634,41,41
42,840000,477.3170731707317,487.575,41,40
43,860000,494.95,498.575,40,40
44,880000,500.0,495.3,40,40
45,900000,499.125,497.3,40,40
46,920000,490.25,498.525,40,40
47,940000,478.0731707317073,484.5365853658537,41,41
48,960000,494.3,492.525,40,40
49,980000,491.65,463.7441860465116,40,43
50,1000000,494.875,495.6,40,40
